TampaElectric,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
TampaElectric,2017-09-27 13:04,0,1,Talking to any @TampaElectric employee on the phone pic.twitter.com/nvTw9eLifV,,@TampaElectric,,9.130868800524E+017,https://twitter.com/Mathaniel/status/913086880052400128
TampaElectric,2017-09-25 18:50,0,0,"Thats great, you must not have anybody there from @TampaElectric",,@TampaElectric,,9.12449140889653E+017,https://twitter.com/MyFancyOne/status/912449140889653248
TampaElectric,2017-09-24 18:29,0,0,Thank you #TeamTampa,,,#TeamTampa,9.12081649327837E+017,https://twitter.com/iamatwin/status/912081649327837186
TampaElectric,2017-09-24 16:34,0,0,Thank you TECO!,,,,9.12052703345471E+017,https://twitter.com/MetroMinistries/status/912052703345471488
TampaElectric,2017-09-24 09:19,0,0,. @TampaElectric power is out for the 2nd time in Thonotosassa. bright sunny day outside,,@TampaElectric,,9.11943190462255E+017,https://twitter.com/Darkside2Light/status/911943190462255105
TampaElectric,2017-09-23 14:25,0,0,. @TampaElectric Need to thank tree care guys from CT for clearing downed branches on my power line after Irma in Apollo Beach.,,@TampaElectric,,9.11657703818367E+017,https://twitter.com/HollyASwanson/status/911657703818366976
TampaElectric,2017-09-22 10:04,0,0,This is very cute!,,,,9.11229830401839E+017,https://twitter.com/DeborahZeman2/status/911229830401839104
TampaElectric,2017-09-22 08:00,0,0,@TampaElectric #fpl is offering a credit for food loss because of the lengthy power outage during #Irma . Are you doing the same?,,@TampaElectric,#fpl #Irma,9.11198584753852E+017,https://twitter.com/cindykerns/status/911198584753852416
TampaElectric,2017-09-21 23:24,0,0,Hey @TampaElectric I came home late to a power outage. What's going on?,,@TampaElectric,,9.11068658029515E+017,https://twitter.com/singasongsteve/status/911068658029514752
TampaElectric,2017-09-21 21:39,0,0,@TECOEnergy @TampaElectric - this is nice. I'd made plans if I knew power would be out tonight (polk city) Thank You for everything though:),,@TECOEnergy @TampaElectric,,9.11042215119552E+017,https://twitter.com/AeSix/status/911042215119552512
TampaElectric,2017-09-21 15:17,0,0,Thank you from Tampa Electric! http:// bit.ly/2ygGogw via @TampaElectric,,@TampaElectric,,9.10946202379792E+017,https://twitter.com/jorel_ed/status/910946202379792385
