PwrEngineering,2017-09-27 12:02,1,0,#Wind has been a big part of @xcelenergy for years -- and it will soon get even bigger. https:// buff.ly/2fRGhkI pic.twitter.com/4UbHx2lQYN,,@xcelenergy,#Wind,9.13071479352435E+017,https://twitter.com/PwrEngineering/status/913071479352434693
NAWindpower,2017-09-27 11:45,0,0,. @xcelenergy and @ApexCleanEnergy partner for the new 300 MW Dakota Range #wind facility in South Dakota. #windpower http:// bit.ly/2wlaZJa,,@xcelenergy @ApexCleanEnergy,#wind #windpower,9.13067111685206E+017,https://twitter.com/NAWindpower/status/913067111685206018
KDLTNews,2017-09-27 11:27,0,1,. @xcelenergy announced plans to build/own a 300megawatt wind farm in Grant and Codington counties of Northeastern SD http://www. kdlt.com/2017/09/27/xce l-energy-announces-plans-new-south-dakota-wind-farm/ …,,@xcelenergy,,9.13062577017692E+017,https://twitter.com/KDLTNews/status/913062577017692161
KErecharge,2017-09-27 10:56,2,5,Xcel Energy is 1st in US to confirm plans for a wind farm that will not qualify for the full PTC: http://www. rechargenews.com/wind/1354313/x cel-green-lights-first-us-wind-project-at-80-percent-ptc … @xcelenergy @AWEA,,@xcelenergy @AWEA,,9.13054867589144E+017,https://twitter.com/KErecharge/status/913054867589144576
KeelyCouillard,2017-09-27 10:26,2,1,Join @CVCTC for the October Event on 2018 Social Media Trends with @BridgetMonroe and @arikhanson @xcelenergy http:// bit.ly/2wjY1vf,,@CVCTC @BridgetMonroe @arikhanson @xcelenergy,,9.13047172488278E+017,https://twitter.com/KeelyCouillard/status/913047172488278016
CarlSiegrist,2017-09-27 10:00,1,1,. @xcelenergy Announces Plans to Achieve Nation-Leading Wind Energy Milestone by 2021 http://www. businesswire.com/news/home/2017 0927005641/en/Xcel-Energy-Announces-Plans-Achieve-Nation-Leading-Wind … #CleanEnergy #windpower,,@xcelenergy,#CleanEnergy #windpower,9.13040755018609E+017,https://twitter.com/CarlSiegrist/status/913040755018608640
mlraposa,2017-09-27 09:43,0,0,New this morning: @xcelenergy announces plans to build a 300-megawatt wind farm in S.D. http://www. argusleader.com/story/news/bus iness-journal/2017/09/27/xcel-energy-build-300-megawatt-wind-farm-north-watertown/707418001/ … via @argusleader,,@xcelenergy @argusleader,,9.13036460600779E+017,https://twitter.com/mlraposa/status/913036460600778752
sfbj,2017-09-27 09:41,3,4,". @xcelenergy building 300-megawatt wind farm near Watertown. Will power 157,000 homes. (fixes link) http://www. argusleader.com/story/news/bus iness-journal/2017/09/27/xcel-energy-build-300-megawatt-wind-farm-north-watertown/707418001/ …",,@xcelenergy,,9.1303595888239E+017,https://twitter.com/sfbj/status/913035958882390016
bizsiouxfalls,2017-09-27 09:34,0,1,. @xcelenergy plans to build a wind farm near Watertown http:// ow.ly/wozq30fsH3O,,@xcelenergy,,9.13034198474207E+017,https://twitter.com/bizsiouxfalls/status/913034198474207232
zackoch,2017-09-26 18:15,1,0,@xcelenergy @XcelEnergyMN I'm losing my patience. Let's get with the program here and do the right thing. pic.twitter.com/kiptKX9CWh,,@xcelenergy @XcelEnergyMN,,9.12802928905335E+017,https://twitter.com/zackoch/status/912802928905334784
wispolitics1,2017-09-26 16:53,0,2,"Tnx Can, Mex, @Kurt_R_Bauer @RepBallweg + sponsors @Walmart @xcelenergy @WIHospitalAssn @aarpwi @HuschBlackwell @amfam for NAFTA talk. pic.twitter.com/PXrPrRr4AK",,@Kurt_R_Bauer @RepBallweg @Walmart @xcelenergy @WIHospitalAssn @aarpwi @HuschBlackwell @amfam,,9.12782239401947E+017,https://twitter.com/wispolitics1/status/912782239401947136
WEN_Colorado,2017-09-26 15:44,0,0,A big thanks to Paula for inviting us in to speak to @xcelenergy women about the benefits of… https://www. instagram.com/p/BZhDOzrDhLb/,,@xcelenergy,,9.12764811078799E+017,https://twitter.com/WEN_Colorado/status/912764811078799360
NorthDakotaUAS,2017-09-26 14:37,3,1,Today #Minot hosts a B2B seminar focusing on #drones / #UAS . Special guests include @RobotAviation @eSmart_Systems and @xcelenergy .,,@RobotAviation @eSmart_Systems @xcelenergy,#Minot #drones #UAS,9.12747948454408E+017,https://twitter.com/NorthDakotaUAS/status/912747948454408193
ColoSenGOP,2017-09-26 09:41,3,4,ICYMI: Utility customers should be wary of pie-in-the-sky #energy promises https:// coloradopolitics.com/colorado-energ y-plan-good-theory-terrible-reality/ … #copolitics #coleg @hickforco @xcelenergy pic.twitter.com/ksPB3vT54I,,@hickforco @xcelenergy,#energy #copolitics #coleg,9.12673462518301E+017,https://twitter.com/ColoSenGOP/status/912673462518300672
TmSouthFlorida,2017-09-25 19:16,1,4,"Thank you @xcelenergy for helping out!! Amazing job by so many who came together, traveled so… https://www. instagram.com/p/BZe2uKmn6Vh/",,@xcelenergy,,9.12455907635843E+017,https://twitter.com/TmSouthFlorida/status/912455907635843072
rodwaltonelp,2017-09-25 14:18,0,0,". @HansenTeresa1 news video: @XcelEnergy , #Minnesota city create butterfly, bee habitat and more: http:// bit.ly/1EsoEw7 pic.twitter.com/GCstpBlJZO",,@HansenTeresa1 @XcelEnergy,#Minnesota,9.12380901568459E+017,https://twitter.com/rodwaltonelp/status/912380901568458752
SwiatOZE,2017-09-25 11:45,0,0,"@xcelenergy planuje dodać 1,7 GW nowych mocy #OZE w #Colorado #energetyka #fotowoltaika #energiawiatru #USA https:// goo.gl/PJjPkt",,@xcelenergy,#OZE #Colorado #energetyka #fotowoltaika #energiawiatru #USA,9.12342180878016E+017,https://twitter.com/SwiatOZE/status/912342180878016512
SouthwestEE,2017-09-25 11:14,1,2,. @xcelenergy other electric companies explore joining Southwest Power Pool pic.twitter.com/BLwr0aHUmt,,@xcelenergy,,9.12334502248063E+017,https://twitter.com/SouthwestEE/status/912334502248062977
thomaswikjr,2017-09-25 10:43,0,0,@xcelenergy you're doing amazing sweetie. So far today is a solar spill kinda day. pic.twitter.com/VSlbfq9Sza,,@xcelenergy,,9.12326712674931E+017,https://twitter.com/thomaswikjr/status/912326712674930688
colo_politics,2017-09-25 10:00,1,0,"OPINION: Colorado Energy Plan is good in theory, terrible in reality | https:// coloradopolitics.com/colorado-energ y-plan-good-theory-terrible-reality/ … #coleg #copolitics @xcelenergy pic.twitter.com/EFTrdPWZ42",,@xcelenergy,#coleg #copolitics,9.12315762731127E+017,https://twitter.com/colo_politics/status/912315762731126784
XcelEnergyCtr,2017-09-24 18:42,0,2,Sorry to hear about the power outage. You are probably looking to contact @xcelenergy . Xcel Energy Center is a hockey and concert venue,,@xcelenergy,,9.12084889964548E+017,https://twitter.com/XcelEnergyCtr/status/912084889964548096
colo_politics,2017-09-24 10:30,0,0,OPINION: Colorado Energy Plan offers our state a win(d)-win(d) | https:// coloradopolitics.com/colorado-energ y-plan-offers-state-wind-wind/ … @xcelenergy #coleg #copolitics pic.twitter.com/eRnZE7WER4,,@xcelenergy,#coleg #copolitics,9.11960928165306E+017,https://twitter.com/colo_politics/status/911960928165306368
TesaMcClure,2017-09-22 12:23,0,1,Amazing sight to see! Prayers for safe travel for FL's new friends from @xcelenergy Tell your families thank you for sharing you with us! pic.twitter.com/ThqVENUW03,,@xcelenergy,,9.11264663190504E+017,https://twitter.com/TesaMcClure/status/911264663190503424
mke2srq,2017-09-22 09:57,1,1,"Great to see out of state utilities heading home! Thanks, guys... safe travels! @XcelEnergyMN @xcelenergy #irma pic.twitter.com/D1dqtloEaF",,@XcelEnergyMN @xcelenergy,#irma,9.11227844155584E+017,https://twitter.com/mke2srq/status/911227844155584518
bigfack,2017-09-22 01:35,0,0,"minnesota twitter, you're leaving me hanging cc @xcelenergy https:// twitter.com/bigfack/status /911029103813365760 …",,@xcelenergy,,9.11101739943682E+017,https://twitter.com/bigfack/status/911101739943682048
VorpalDM,2017-09-21 21:26,0,0,@xcelenergy out of power here in Edina. Loud boom power out.,,@xcelenergy,,9.11038868610322E+017,https://twitter.com/VorpalDM/status/911038868610322432
SenCoifGardner,2017-09-21 11:19,0,0,Sorry it's hard. I struggled too until staff got me this & then we just decided to skip @CBO altogether https://www. amazon.com/Common-Core-Ma th-Made-Grade/dp/1499756151 … #copolitics,,@CBO,#copolitics,9.10886286260441E+017,https://twitter.com/SenCoifGardner/status/910886286260441088
SeanPaige,2017-09-21 10:39,3,2,"@xcelenergy uses #CommonCore math 2 predict #greenenergy ""savings,"" says @AmyOliverShow : http://www. greeleytribune.com/news/opinion/y eatman-cooke-the-math-behind-xcels-colorado-energy-plan-defies-reality-and-history/ … #copolitics #energy #gop pic.twitter.com/0DepA6fe4f",,@xcelenergy @AmyOliverShow,#CommonCore #greenenergy #copolitics #energy #gop,9.10876022341378E+017,https://twitter.com/SeanPaige/status/910876022341378049
LillianIris,2017-09-20 17:49,0,0,Power is back! Thank you @xcelenergy ! I know you're not local. I just saw your truck drive away & it brought tears to my eyes! Blessings!,,@xcelenergy,,9.10621945850483E+017,https://twitter.com/LillianIris/status/910621945850482698
BusinessTake,2017-09-20 13:01,0,0,Conflicting state priorities have @xcelenergy looking to split MN & ND operations. http:// bit.ly/2xi2ZKo,,@xcelenergy,,9.10549476435268E+017,https://twitter.com/BusinessTake/status/910549476435267584
kevinhagen,2017-09-20 11:48,0,1,Kwl collaboration in community #solar Lori Bird @NREL @holly_lahd @Target Matt Leducq @nexteraenergyr Aakash Chandarana @xcelenergy #verge17,,@NREL @holly_lahd @Target @nexteraenergyr @xcelenergy,#solar #verge17,9.10531039696536E+017,https://twitter.com/kevinhagen/status/910531039696535552
SAPIndustries,2017-09-20 08:07,0,1,#SAP4UTL Excellence in #Utilities Awards a Hit in Huntington Beach http:// spr.ly/601982Kot @DTE_Energy @Accenture @xcelenergy @PSETalk pic.twitter.com/d5Mzeedrzd,,@DTE_Energy @Accenture @xcelenergy @PSETalk,#SAP4UTL #Utilities,9.10475384860406E+017,https://twitter.com/SAPIndustries/status/910475384860405763
jdrakehamilton,2017-09-20 07:38,4,1,North Dakota energy policy priorities clash with Minnesota's advances but bulk of @XcelEnergy customers are in #MN https://www. eenews.net/energywire/201 7/09/20/stories/1060061173 …,,@XcelEnergy,#MN,9.10468134435467E+017,https://twitter.com/jdrakehamilton/status/910468134435467264
WRIEnergy,2017-09-19 17:20,3,3,We're live at #VERGE17 with @ltawney and Aakash Chandarana @xcelenergy talking #renewableenergy innovation https://www. facebook.com/REbuyersallian ce/videos/1935197686752822/ … #reba17 pic.twitter.com/AVwXs8Qv2K,,@ltawney @xcelenergy,#VERGE17 #renewableenergy #reba17,9.10252205885632E+017,https://twitter.com/WRIEnergy/status/910252205885632512
AllDayNJ,2017-09-19 13:02,1,3,A big thank you to the @xcelenergy family for helpin us out in #SWFL Didn't have cold water so I gave them some fresh coconuts @XcelEnergyTX,,@xcelenergy @XcelEnergyTX,#SWFL,9.10187463502696E+017,https://twitter.com/AllDayNJ/status/910187463502696448
batesTopher,2017-09-19 00:35,0,0,"I got mine, in multiple rooms! If it goes out I only blame the wiring tech (me) or the @xcelenergy , because I got no power!",,@xcelenergy,,9.09999356761264E+017,https://twitter.com/batesTopher/status/909999356761264128
Cptn_Jack,2017-09-18 21:00,0,0,"@xcelenergy we've been without power for six hours. It was ""supposed"" to be up at four. When will we have power again?",,@xcelenergy,,9.09945350680646E+017,https://twitter.com/Cptn_Jack/status/909945350680645632
ItsBoomerAgain,2017-09-18 17:35,0,0,Just in time for the next hurricane. Stay safe everyone..,,,,9.09893611176817E+017,https://twitter.com/ItsBoomerAgain/status/909893611176816640
thoen88,2017-09-18 15:29,0,2,Awesome!! @xcelenergy https:// twitter.com/Breaking911/st atus/909856279363047424 …,,@xcelenergy,,9.098620774808E+017,https://twitter.com/thoen88/status/909862077480800256
